review_id,product_name,price,total_ratings,avg_rating,rating,review_title,review_text,review_date,product_link,category,platform,reviewer_id,product_id
JUMIA_000001,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,2,my face is glowing,"I love it, perfectly on my skin",2026-05-21,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00001,PRODUCT_5a010aff7ea3
JUMIA_000002,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,nice,it's a bit small but it's okay,2026-05-19,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00002,PRODUCT_5a010aff7ea3
JUMIA_000003,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,I like it,Clears the hyper pigmentation in a few days. Lovely product,2026-05-18,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00003,PRODUCT_5a010aff7ea3
JUMIA_000004,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,1,Dissapointed,Don't brighten,2026-05-18,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00004,PRODUCT_5a010aff7ea3
JUMIA_000005,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,love it,Everything about it is good,2026-05-14,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00005,PRODUCT_5a010aff7ea3
JUMIA_000006,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,Nice,Good,2026-05-12,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00006,PRODUCT_5a010aff7ea3
JUMIA_000007,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,very effective,Just nice,2026-05-07,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00007,PRODUCT_5a010aff7ea3
JUMIA_000008,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,best,Gives the best smoothness,2026-05-04,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00008,PRODUCT_5a010aff7ea3
JUMIA_000009,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,4,nice product,Love it,2026-04-30,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00009,PRODUCT_5a010aff7ea3
JUMIA_000010,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,good product,This is so good,2026-04-16,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00010,PRODUCT_5a010aff7ea3
JUMIA_000011,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,love it,it is so good,2026-04-10,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00011,PRODUCT_5a010aff7ea3
JUMIA_000012,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,2,Nice,"It's nice, we need it in big bottle so that it will be lasting longer, put it a whitening substance so that it will be more comfortable using because it is making my face dark",2026-04-10,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00012,PRODUCT_5a010aff7ea3
JUMIA_000013,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Good,It does it work,2026-04-08,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00013,PRODUCT_5a010aff7ea3
JUMIA_000014,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,works well,It's nice but could do better,2026-04-07,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00014,PRODUCT_5a010aff7ea3
JUMIA_000015,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,good,Good,2026-04-01,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00015,PRODUCT_5a010aff7ea3
JUMIA_000016,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Great,It's works well,2026-03-31,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00016,PRODUCT_5a010aff7ea3
JUMIA_000017,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,1,not working,Not noticeable change,2026-03-30,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00017,PRODUCT_5a010aff7ea3
JUMIA_000018,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,1,Terrible,It's very terrible now Smells bad Gives skin reaction Do not buy! I regretted it,2026-03-27,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00018,PRODUCT_5a010aff7ea3
JUMIA_000019,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,4,VITAMIN C SERUM,"VERY GOOD, IT'S EFFECTIVE",2026-03-25,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00016,PRODUCT_5a010aff7ea3
JUMIA_000020,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,4,Good,Good product,2026-03-23,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00019,PRODUCT_5a010aff7ea3
JUMIA_000021,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,nice,A good one,2026-03-19,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00020,PRODUCT_5a010aff7ea3
JUMIA_000022,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Vitamin C Serum,It has a bad odour,2026-03-18,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00021,PRODUCT_5a010aff7ea3
JUMIA_000023,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,Saint,The base is very very important,2026-03-17,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00022,PRODUCT_5a010aff7ea3
JUMIA_000024,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,5,my review,Perfect ????,2026-03-16,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00023,PRODUCT_5a010aff7ea3
JUMIA_000025,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,3,Is just average,Am not seeing any changes on my skin yet,2026-03-12,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00024,PRODUCT_5a010aff7ea3
JUMIA_000026,Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2170,4245,3.7,4,nice one,Good on my face,2026-03-09,https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html,Skincare,Jumia,USER_00025,PRODUCT_5a010aff7ea3
